User;GameElement;QuestionCount;CorrectCount;QuizCount;PassedQuizCount;FullyCompletedLessonCount;Time;RestartedQuizCount;Gender;achiever;player;socialiser;freeSpirit;disruptor;philanthropist;micoI; miacI; mistI; meidI; meinI; mereI; amotI; micoF; miacF; mistF; meidF; meinF; mereF; amotF; micoVar; miacVar; mistVar; meidVar; meinVar; mereVar; amotVar
eleveeg05;avatar;119;79;26;10;0;01:17:15;2;Male;-2;0;3;7;-1;-4;8;13;8;8;10;11;19;10;13;8;7;6;10;16;2;0;0;-1;-4;-1;-3
eleveeg07;score;144;105;28;15;2;02:14:52;1;Male;10;7;9;9;8;9;16;16;19;20;14;17;4;20;20;20;20;20;20;20;4;4;1;0;6;3;16
eleveeg08;badges;194;102;32;9;1;01:52:47;4;Male;-4;12;1;6;-7;2;13;17;12;18;15;18;4;13;16;11;19;15;17;7;0;-1;-1;1;0;-1;3
eleveeg09;timer;168;107;32;12;1;02:52:52;3;Male;-3;4;6;3;1;3;6;9;5;11;7;12;16;9;13;7;13;8;11;12;3;4;2;2;1;-1;-4
eleveeg10;progress;209;172;43;29;8;02:51:11;9;Male;11;11;5;11;3;8;18;20;19;18;18;20;4;15;20;19;18;19;19;8;-3;0;0;0;1;-1;4
eleveeg12;ranking;214;174;39;26;4;02:45:49;9;Male;-3;7;2;6;0;3;10;11;9;14;13;17;7;12;18;11;15;13;16;9;2;7;2;1;0;-1;2
eleveeg13;ranking;154;69;27;5;1;01:37:12;3;Male;3;12;1;4;2;-1;13;12;11;13;15;19;6;10;14;12;13;18;13;13;-3;2;1;0;3;-6;7
elevejf02;badges;167;121;31;12;4;02:00:38;5;Female;5;9;6;7;-1;6;15;17;13;19;16;14;8;13;15;16;18;15;12;10;-2;-2;3;-1;-1;-2;2
elevejf03;timer;126;72;27;12;2;02:14:21;1;Female;6;12;-12;12;12;-6;14;16;11;4;7;19;10;12;19;16;9;16;19;11;-2;3;5;5;9;0;1
elevejf04;progress;171;103;33;9;3;02:26:34;2;Female;6;2;4;8;7;6;11;11;7;13;10;16;11;11;12;10;9;13;18;11;0;1;3;-4;3;2;0
